# b'"cell id","p-S6","PD-L1","Mcl1","Vim","NF\xce\xbaBp65","p-Akt","E-Cad","Bim","p-Rb","FOXO1A","p-Stat3","SOX2","p-\xc9\xa3H2AX","Ki67","PCNA","group id"'
"0001-0049",-8.082251485687637,-1.658358626893274,-1.656982217741474,-8.082251485687637,-8.082251485687637,-1.8161901056765295,-2.1017240311220435,-0.8979658339615497,-8.082251485687637,-8.082251485687637,-8.082251485687637,-3.069757919249417,-2.3766107386894717,-3.0364228080232767,-1.9037888339017988,5
"0002-0060",0.49841947696987177,0.42331801158369586,-0.8098815657451546,0.8701204261010922,-1.5738758687577619,-0.5113506063988167,-0.9109272835153988,-0.29964557700745154,1.2386479361222662,0.9388055524624388,1.5795626429421006,0.8158150328293843,-0.227942454590095,2.6969535024410867,2.1268629021286696,5
"0003-0087",1.0229830048753357,0.8330687560254209,-0.35495252644171327,-0.07940912428201763,-1.0425034972470035,-0.02874082382900056,-1.7282380301984022,-0.26110607751488857,1.6869914485103958,1.0427800954398432,1.303115147003119,0.7022867761314426,-0.17032647433586678,3.202648304775636,2.4573576600407794,5
"0004-0155",0.5761179518523765,0.6962902237310402,-0.47991605334167264,-1.2132848532130192,-1.9561926735042299,-0.0813990987255,-0.45686911910223316,-0.053338975894721585,1.4907559515561175,1.423373734260247,1.5091362256999616,1.025714352590505,0.3975639812279326,2.853695287254551,2.5767448539107924,5
"0005-0166",1.1153479643554718,0.6676410546324192,-0.6237349331066788,0.9057421424389354,-0.7431710376587564,-0.39775631948919443,-1.3242510623404442,-0.35271045889278607,1.3324020127645788,1.6561772675516195,1.811543192350591,0.9893187668943231,0.16703376343493304,2.664988599983527,1.9309966081801395,5
"0006-0166",2.1103403774399645,1.4339345965679424,-0.41191298620558303,0.8148864554259916,0.23772707563094642,-0.3508459015999037,-1.4614518763850022,-0.19648216267859286,1.6533693930332571,2.1330357451425304,1.937139960244691,1.2540362804606868,0.23129485256608007,2.8155751929205497,2.4876572946072777,5
"0007-0178",-8.082251485687637,-2.6401065396354166,-0.9280330825497005,-8.082251485687637,-8.082251485687637,-1.0842871975950379,-3.104242694418476,-0.8909072496330941,-7.552800397798482,-4.238571562904945,-8.082251485687637,-4.118775198670575,-3.6507920362456048,0.030231012977594673,-1.8473134480422484,5
"0008-0202",1.3319173362464891,0.7155849637468332,-0.9494959800801261,0.49218499374441116,-0.6178780500378425,-0.6425100544791498,-0.6978801130701697,-0.31211228674566716,0.276470338493672,-0.20192495734076665,0.39350160355249386,0.02384768497489631,-1.4659868559204572,2.273763402658922,1.5646951686225634,5
"0009-0221",-0.29294268591793937,-0.2713766349910296,-0.9832809827414257,0.47144546206436466,-1.3532676725360542,-0.689481435527239,-1.9396336034481658,-0.7415177525715508,0.2899094596689462,-0.46686049367314375,1.434309699432923,0.5080936496043158,-1.0292000412148434,2.080916039518476,1.2998313479318178,5
"0010-0243",-8.082251485687637,-1.2751787920715323,-1.1360296239909573,-8.082251485687637,-8.082251485687637,-1.358356546819472,0.22272375211446338,0.4681656278652362,-8.082251485687637,-4.354079205635994,-6.859653217238536,-2.0974415313488253,-1.2950944513467029,1.4481526660374406,0.5263911698242527,5
"0011-0245",-8.082251485687637,-1.4671238215502953,-0.9201020811198939,-8.082251485687637,-8.082251485687637,-1.2301970950167327,0.0711241712564501,0.29656177793120975,-8.082251485687637,-1.5268960163530902,-3.9554558676950435,-1.1785895731102825,-0.8253305873014662,1.889919377092971,1.104627712665879,5
"0012-0614",-8.082251485687637,-2.555548332383445,-1.6891307418400023,-8.082251485687637,-8.082251485687637,-1.7860044158375228,-1.916188881369039,-1.2565743177411068,-8.082251485687637,-8.082251485687637,-8.082251485687637,-3.4096282798424813,-2.8165657878029533,-2.884616704505633,-1.2230417008090937,5
"0013-0742",-1.1608448124526687,0.19569798953735962,-0.7859948393478611,-0.45438630926598567,-1.1533356782451412,-0.38033740322831466,-2.362585819403898,-0.4922856131895106,0.5004889679157998,0.5065141805095301,0.8643897112242378,-0.022818777629844078,-1.2194820664262815,1.5128414972945112,-0.171883201886045,5
"0014-0889",-5.301446608676516,-0.5091658515102031,-0.7186536234442293,-8.082251485687637,-3.1896642623664695,-0.18064424347503572,-1.4479690435289552,-0.12472618356407406,0.6172820956785436,0.894330445851228,1.1274849039279164,0.20236252857786674,-1.1182151220507226,2.3754668387189,1.3155808037020034,5
"0015-0992",0.608470216756599,0.4012589576998611,-1.2365003421134109,0.6255961143443525,-0.916815199279033,-0.47231495651568345,-2.611120116239001,-0.9839824643505155,-0.343421809328718,0.7224868688087209,1.8084091525935975,0.5545060871793854,-1.320314199994602,1.1079251578031784,0.19505069533531127,5
"0016-1018",-0.35271045889278607,-0.2915368442642343,-1.000253865726119,0.05734776301143718,-0.5943139376262803,-0.3841823888071909,-1.1384835183811415,-0.3761254198593891,0.833410798692233,0.7961308055172172,1.196732563480932,0.21661652738838377,-1.3411590042950756,1.9720969698605604,1.4290451900039223,5
"0001-0015",-8.082251485687637,-8.082251485687637,-1.2519767827765333,-8.082251485687637,-8.082251485687637,-1.5293143042225035,-1.8161901056765295,-1.123849671421536,-8.082251485687637,-8.082251485687637,-8.082251485687637,-2.033303716384541,-2.02730991813465,-2.0433739127062136,-8.082251485687637,5
