# b'"cell id","p-S6","PD-L1","Mcl1","Vim","NF\xce\xbaBp65","p-Akt","E-Cad","Bim","p-Rb","FOXO1A","p-Stat3","SOX2","p-\xc9\xa3H2AX","Ki67","PCNA","group id"'
"0001-0009",0.026856125583702095,-2.769470497041045,-2.1597812865551402,-2.707381894379729,-1.9416796990096872,-2.1377821984802603,-3.2958360776436857,-1.9140707399667392,0.5946302124124259,0.1241586841660336,-0.06880159962618926,-8.937313978487303,-1.8278790586541822,0.9884557717267679,-8.937313978487303,6
"0002-0012",1.0750969003525892,-0.3103982389250213,-1.6857966695384627,0.1306407171320334,-0.9479098125514929,-1.725089571438259,-2.3428772631939836,-1.4342818230730003,-7.7147157100382024,0.7533255291563563,1.1133404667633986,-1.0173347092531904,-0.9872455469030932,1.2629424239057307,-1.4493764304259464,6
"0003-0031",0.8295957744063642,0.3717328901831376,-0.8952070711509688,0.5887654614231064,0.6970996903452349,-1.4198730223801004,-1.0204248284704773,-0.846963169581695,1.6522392649426862,1.8168765091548895,2.1092256571002075,1.5275491269748862,0.16110674702023964,2.486717866457491,1.6217668255987086,6
"0004-0046",0.5733541462222949,0.11594687880905319,-1.1083652058330733,0.9713720883284207,0.014948041363661346,-1.196636967953899,-1.0108760137960608,-1.1151469317790497,1.458298525143558,1.0175868187420498,2.2954423345675217,1.342570053760614,0.0358296824680302,2.3814326167807884,1.6385287665566004,6
"0005-0065",1.3912464211826379,0.6705260615441411,-1.6503109491540435,-0.3580782533199809,-0.5172420058168701,-1.8682386383629588,-1.8079539315109736,-1.5592888556976714,-0.36512515480242236,0.7803212915721609,0.7596082784056062,0.11505241415776624,-1.588353930080376,0.8995063354657749,0.15328981340654124,6
"0006-0065",1.4264468288742016,0.7896837993094774,-1.6393310947460895,-1.5656750089401967,-0.4199605999017155,-1.76338401162287,-1.5182332006975248,-1.3311707756616107,0.39979692037947423,0.9680301994527358,1.1514105435607878,0.4539507246175152,-1.1722055632766626,1.3181498213818124,0.9510219659747676,6
"0007-0084",-0.725111798645484,-0.5669215438797721,-1.5060871732849295,0.10405445273303648,-0.29349994237479393,-1.5325924750545603,-1.1543541637160928,-1.2547730083197175,0.9335001644495513,1.165803801138713,0.6449843548921166,0.2517358497939064,-1.2729335600049705,1.5619421320509268,1.39658820483257,6
"0008-0253",1.6572714562304949,1.4470240381085304,-1.005372946547273,0.14531471911905136,0.3923646635854272,-1.0285044819236147,-0.9415969267625908,-0.6460795473700944,0.8873623203245327,1.7089783757619124,0.48403080264923837,0.621113769590977,-0.7959823366577101,1.564068973099232,0.5902503505633749,6
"0009-0273",1.3835015723409594,1.1622161489913818,-1.1892811381384742,0.6912489778371746,0.7922634219941926,-1.167891854922182,-1.0041542241527726,-0.8584784732813642,0.9270316257935072,1.6202229758987396,0.9884557717267679,0.9080462968947103,-0.6115609926616088,1.3700146975408458,0.38183550589545057,6
"0010-0278",1.595960685490443,1.432536772459862,-0.9999003545102765,0.0557568066171914,0.4294936736386372,-0.9676778248678684,-0.2710137766156997,-0.24047263397172003,1.1967850905657436,1.8590205152298402,1.4269021981076744,1.341724755532912,0.12198859694255049,1.8494311701684651,1.0761242836288751,6
"0011-0281",1.652816271247998,1.5389858187480385,-1.1278164859633382,0.47913747228279746,0.8084481373851151,-1.0996167706664712,-0.043083548949475414,-0.08701134115504239,0.6801786109606898,1.414398669555334,1.1369144158019857,0.8983258502013882,-0.578194317893514,1.5530588328064674,0.9801597597735636,6
"0012-0293",1.5972036727527037,1.5151223858307397,-1.1845289808363333,0.2631191787061997,0.32415733969867766,-1.0537820644969083,0.06771293707204151,0.012637386914423843,0.8581869465090239,1.4970370033367821,1.487857561825619,1.077454494472894,-0.2887238207144929,1.7616935715362985,1.4629331126526939,6
"0013-0362",0.036475235575087694,0.01120438197567708,-1.6087689491832817,-0.5579158849535926,-0.9597818514343963,-1.4866595739289616,-2.196221497094742,-1.4125164066852838,0.5471718327359021,0.7091935982484578,0.6548854584762012,0.11395809195613538,-1.2902137597748196,1.1035828815824047,-0.7000876319137213,6
"0014-0446",1.3813177551009446,0.3002368093604506,-1.192952506121455,1.0915594127925186,-0.7134317386468947,-1.2701487040070152,-1.2141385780159855,-1.3831756119836278,1.3327321783014625,0.743561631405683,1.2715188913610511,0.7427126598803522,-0.6880287293647331,2.371215017828515,1.9155567990657207,6
"0015-0521",-8.937313978487303,-5.111982401237867,-1.8390449571501817,-8.937313978487303,-8.937313978487303,-1.8872036005296025,-2.773035428478722,-1.9110497051983186,-8.937313978487303,-5.490060325066462,-8.937313978487303,-3.749112862643993,-4.288787412249297,0.0008921579024256943,-4.694247732518572,6
"0016-0984",0.30961190678169714,-2.430204937042853,-2.353384836185408,0.558276235464735,-6.328347735608992,-1.5608815746775226,-2.6132884050072303,-4.321846987021844,-8.937313978487303,-2.5862589916318486,-0.6329687701037034,-1.3417844272004862,-6.536060713696556,-1.346061429928957,1.2143605056955007,6
"0017-0988",1.2366655268824864,0.5634333750015337,-1.8908921394509264,0.4101396137032616,-1.1154872283694468,-1.3277982201350307,-1.6590653707344716,-2.7483416873237605,-0.8363510318965552,1.5959380718991962,0.3192242481445877,0.2725922992836214,-2.1665750145670035,0.43924770071992647,-1.1635970953976713,6
"0018-1017",0.8040146385689564,-0.16757145493122927,-1.9821456736317247,-0.027138600785612255,-1.845380533943053,-1.5704915309288179,-2.8471427534833627,-5.339782563832673,-2.9525040241484914,0.6341562595101617,0.11336056649119186,-0.5204283128344933,-5.574614904309582,-0.44280002785539274,-0.20383638603541243,6
"0001-0031",-0.7940058360834428,-0.40195714924345083,-2.1793135551401104,-1.0442278439271302,-1.7568991522630437,-2.0657031093354217,-5.412101171070155,-4.138124257959448,-1.77516457391956,-0.46741870519365847,-0.5073733567816845,-1.2685608328370463,-4.173722245821308,0.4693480729482733,-2.5686380608135533,6
"0002-0523",1.4463939281171498,1.1008409961474417,-1.1016287666924178,0.539201081371175,0.5543748508789772,-1.042011686256564,-0.5062620699750919,-0.6090965138300302,1.230720378119985,1.9070935604087076,1.763320862831879,1.4868492266081965,0.04515003509106208,1.881112412526754,1.211607635702272,6
"0003-0548",1.6577180209170237,1.1301634611578013,-1.3633552634327675,0.48141482139927305,0.623688124245172,-1.2902137597748196,-0.7111575468661382,-0.6989649623761949,1.1113598217221803,1.9002443401364975,1.1075341943788732,1.2187229838704479,-0.40362597751799,1.4698065325044016,1.1281797896312806,6
"0004-0557",1.3126111343386775,0.8973258348868107,-1.4498518104799674,0.27725314816255064,0.13980078267976026,-1.5207821737071914,-0.6634713824468932,-0.8637570313312075,0.08630469023363041,1.0684505655286287,1.028455410162076,0.7453632361739455,-0.5200529518103778,1.499854161987523,1.116596313734055,6
"0005-0571",1.6575054078634892,1.3840887244105513,-1.280532256203653,0.75343056163487,0.687329332663623,-1.111750319841227,-0.3780660167312675,-0.4592627353263836,-0.9009582509445142,1.6104191767330622,1.520209221921366,1.505068590465486,-0.03058331972628814,0.48890030488520253,-0.7969719080670039,6
"0006-0574",1.4076510810928902,0.8081498787705552,-1.422182937728138,0.0,-0.3108548076745574,-1.5141683101524483,-0.9100629952539858,-0.9715021213695954,0.19057989068003955,0.929941083707222,0.8472022952110478,0.48389329416508,-0.8908472374890941,1.6664600341964917,1.3892463205272314,6
"0007-0592",1.5181580315983556,0.6814210064045962,-1.271739100522291,0.3352284058645516,0.13044491495479704,-1.5450667841910306,-1.0099567904335176,-0.9762286848537336,1.0678372096586575,1.6508702242423663,1.0135057711386875,0.9933014141861278,-0.5029362519520859,1.7599484531355483,0.8195203512510876,6
